idx	X	Y	component
0	343429.3835627302	606626.7458557861	0
1	360361.9799256435	603492.0776855682	0
2	360361.9794354829	603492.0770719973	0
3	360639.9254218041	603337.4650346144	0
4	360639.9254689214	603337.46566072	0
5	370360.5522241013	598648.7873273921	0
6	467139.6441800948	708450.1584859104	0
7	409131.1721045048	368197.9105159053	0
8	370360.5522241017	598648.7873273931	0
9	370422.4421792022	598608.1890608943	0
10	370422.4429023068	598608.1920071208	0
11	370458.3201847851	598552.8748623385	0
12	370458.3213103134	598552.8764731387	0
13	370701.7150190193	598387.4158734961	0
14	370701.7161004292	598387.4145498406	0
15	370742.4428325163	598333.2694465552	0
16	370742.4418880771	598333.2678932637	0
17	370996.4226435484	598050.0457747326	0
18	370996.4230720783	598050.0424932623	0
19	371051.4527635108	598010.2583743926	0
20	371051.4525597261	598010.2587018698	0
21	393128.7018034764	562532.8191928701	0
22	393128.7013646246	562532.8177724619	0
23	393150.6959256674	562473.3562716331	0
24	393150.6959256669	562473.3562716322	0
25	393726.5808826316	558125.1464760179	0
26	317635.5156864362	308602.087887394	0
27	626933.0324723967	291176.953117893	0
28	393726.580447935	558125.1441182775	0
29	392141.1744990493	515469.5380758951	0
30	341253.042520063	528920.1222455583	0
31	279446.3104355421	62129.89042948709	0
32	767116.0765670787	464893.4055844453	0
33	396112.1459039788	299955.3518552205	0
34	221301.6804035197	624584.8965574165	0
35	672541.5928845158	757443.0047303969	0
36	525615.0747118668	436707.4435232466	0
37	67177.69428458945	370281.6752505948	0
38	458571.1635943379	520805.8999024181	0
39	499281.5944791261	369674.6694942641	0
40	79368.71066618511	693420.6353745455	0
41	245587.405437234	721693.0254116554	0
42	64703.04322641649	516536.3173416377	0
43	372263.9870470286	618067.0544948633	0
44	404483.8508390992	451922.0404725092	0
45	717279.7798750213	514427.1237205565	0
46	52190.84974013547	363346.8528078466	0
47	472309.4409785662	145551.7073804841	0
48	272311.6788466351	57626.88932344256	0
49	397374.7350211568	419882.6639021282	0
50	392141.1751215914	515469.5386707006	0
51	357770.4753283188	438272.5368319293	0
52	357770.4735814941	438272.5314890268	0
53	358807.2917742709	426206.8037198505	0
54	358807.2916222875	426206.8004046057	0
55	413703.3778578387	273958.459669912	0
56	413703.3778578389	273958.459669911	0
57	413710.0680266425	273933.8267590513	0
58	413710.0670147417	273933.8298154839	0
59	413810.0516935848	273545.0344568116	0
60	413810.0517871297	273545.0341841447	0
61	413815.8582559161	273521.1029082136	0
62	413815.8572181666	273521.1067592999	0
63	414535.2298446724	268010.1461182897	0
64	414535.2300944355	268010.1439205831	0
65	414755.7801672937	267055.2475580409	0
66	414755.7795048911	267055.245749474	0
67	415325.4318193236	255913.5312987071	0
68	415325.4335244674	255913.5300980844	0
69	415326.7572590254	255909.0575429285	0
70	415326.7564712589	255909.0584736461	0
71	415362.1724755607	255849.5650719923	0
72	415362.1731216621	255849.5653484621	0
73	415364.2588935619	255846.9458352816	0
74	415364.2576741728	255846.9462574618	0
75	409298.4219819755	261712.8796279954	0
76	147566.9985601792	717516.6927804939	0
77	467043.7440520551	362232.0353880458	0
78	409298.4237993556	261712.8789668462	0
79	531345.97327146	270801.6260361766	0
80	613478.3120367058	404741.6505212864	0
81	518762.9875339488	296791.6712125724	0
82	531345.9712043942	270801.6269006832	0
83	531359.6971108344	270789.5714079881	0
84	633478.5137143328	670794.3689648212	0
85	581947.9735302405	169579.0805679297	0
86	356717.8492557192	236949.5864457597	0
87	773090.5921565722	92767.60568254627	0
88	81906.22333093028	443688.843629215	0
89	247961.4841148346	449820.1397183456	0
90	200857.7084341979	480173.9000458679	0
91	453578.1208299056	728774.1447106363	0
92	433384.0902516877	97443.0869342112	0
93	90363.76438012626	653908.4430488658	0
94	625550.3899245968	370939.5373688943	0
95	620712.8722661736	712535.4385171793	0
96	458396.7653902243	698642.8419998368	0
97	450733.4178665397	423276.1644791628	0
98	531359.6992859704	270789.5740064832	0
99	519725.6607476326	296223.7882785308	0
100	519725.6619126528	296223.7857480634	0
101	519777.3518143485	296096.7836014039	0
102	519777.3519940598	296096.7830751364	0
103	522181.8820845916	301558.3662040338	0
104	417306.0538031194	46667.83211780736	0
105	577307.4010607431	192961.4314661409	0
106	311312.0950275921	6896.388033131911	0
107	318258.613865087	387397.4887965469	0
108	443067.3905176377	323464.7082680201	0
109	310525.4592044866	260294.7897828264	0
110	146515.1729677002	592375.2805774738	0
111	78952.24279427296	532861.1454038768	0
112	483654.4420586092	637522.1468218799	0
113	418027.2058054222	297710.9043273532	0
114	308727.3803180939	513862.2822771138	0
115	82929.72918722696	309779.3643723086	0
116	331397.3142300631	526853.5823241889	0
117	178715.2768787562	761014.2286536907	0
118	620723.8871576368	229998.9203229486	0
119	721049.4630586838	313521.1072407874	0
120	528929.887306304	154025.086444638	0
121	242260.911955809	680772.4697977612	0
122	293661.6192740141	631791.5543155373	0
123	615977.660585922	562283.8255492266	0
124	522181.8812397883	301558.3657527746	0
125	515537.0878644723	309664.1322998201	0
126	572937.2120912725	670593.822041709	0
127	408325.0076851088	248457.3259409283	0
128	272945.8458908474	1000	0
129	678590.8905748128	86865.10834658345	0
130	620001.1130539367	628188.5816417084	0
131	1000	148770.2937615634	0
132	486817.6525267939	685735.4531337569	0
133	710491.8633291558	577378.6167370257	0
134	515537.0883616526	309664.1323862142	0
135	486152.7908931635	339140.4933860318	0
136	486152.7923522168	339140.4942243083	0
137	485748.634733651	339094.7778442804	0
138	485748.6268052474	339094.775310171	0
139	432295.8899179554	342199.679263561	0
140	54151.43421145905	401975.4525089783	0
141	279162.3328693578	11747.96037938055	0
142	579209.7049765831	46887.5739441526	0
143	263947.3781280007	108710.0316201756	0
144	324778.0910489151	274660.4879286037	0
145	549035.5387632053	554457.2298064707	0
146	699912.254092912	312022.6165285152	0
147	144609.8750404669	39340.87313994393	0
148	45228.33970001277	48646.77587013521	0
149	147559.5881086323	429168.1721116871	0
150	209572.3030406195	232231.6616683435	0
151	189518.2921713271	559472.8662052107	0
152	550704.5988345592	1446.028971097626	0
153	59683.32786533997	246125.0508528918	0
154	432295.8946911801	342199.6834693889	0
155	241549.8887659798	285504.7074175362	0
156	264268.9791884768	738509.9615748625	0
157	682500.5715204621	720914.4774131235	0
158	393503.9438261923	573943.1447396404	0
159	194802.3166120869	10954.95367772761	0
160	378168.8629392508	32856.42009784043	0
161	93989.54688826947	76133.01892012397	0
162	241549.8884655597	285504.7085407755	0
163	241473.7548407043	285500.677640933	0
164	453495.9784576239	630407.2996790868	0
165	291885.5727725726	703096.4337370188	0
166	241473.7647482443	285500.6821071169	0
167	261202.0659400447	265113.2356223993	0
168	261202.0676259912	265113.2307015752	0
169	260963.6351644399	265427.0248056722	0
170	260963.628054439	265427.0286122935	0
171	280456.3137253931	350815.4950471077	0
172	280456.3136358644	350815.4978738339	0
173	280475.4903680852	350863.0867415996	0
174	384224.2593084518	325896.9906721984	0
175	15124.35127277023	667000.0017291289	0
176	280475.4928502882	350863.0878685001	0
177	280476.4323916549	350868.3514326241	0
178	280476.4322344931	350868.3506958549	0
179	280513.3197146817	350955.3356374481	0
180	280513.3197586896	350955.3340530678	0
181	280551.8203907133	351007.1398419202	0
182	280551.8217481064	351007.1406389247	0
183	280616.5864120932	351140.5639437294	0
184	764128.9876432755	45024.40627986572	0
185	522503.17850859	546772.4650759771	0
186	280616.5885562744	351140.5636636431	0
187	280644.277845471	351164.5011549586	0
188	31547.49708056483	437567.1857895485	0
189	429202.4938024874	621647.2706706676	0
190	280644.276299019	351164.4992457681	0
191	280719.4805921139	351291.7480394663	0
192	242054.0063928743	745216.4786294715	0
193	688118.3917002643	673228.9509709878	0
194	280719.4787192574	351291.7458761019	0
195	280720.902922811	351318.8890902285	0
196	711100.3944091673	470459.6097568174	0
197	109589.477283832	580588.8213175668	0
198	497130.9403196407	276977.7975853882	0
199	723151.9184741313	54023.01965122227	0
200	406376.7784130453	245750.1113131666	0
201	364849.587898137	228956.2190434986	0
202	246215.7149505073	641936.9755979389	0
203	606431.3440341861	690511.412028854	0
204	280720.9023094095	351318.8880103006	0
205	283515.9255733021	352154.5213251302	0
